iter	Passed	Remaining
409	4962	7140
410	4973	7127
411	4984	7113
412	4995	7100
413	5006	7087
414	5017	7073
415	5028	7059
416	5040	7046
417	5052	7035
418	5067	7026
419	5081	7017
420	5092	7003
421	5104	6990
422	5115	6977
423	5126	6964
424	5138	6951
425	5150	6939
426	5161	6926
427	5173	6914
428	5185	6901
429	5197	6889
430	5208	6876
431	5220	6863
432	5232	6851
433	5243	6838
434	5255	6825
435	5266	6812
436	5277	6798
437	5288	6786
438	5299	6772
439	5309	6758
440	5321	6745
441	5333	6732
442	5343	6718
443	5354	6705
444	5366	6692
445	5377	6679
446	5389	6667
447	5400	6654
448	5411	6640
449	5422	6627
450	5432	6613
451	5443	6600
452	5455	6587
453	5465	6573
454	5475	6558
455	5487	6545
456	5497	6531
457	5507	6517
458	5518	6503
459	5528	6490
460	5539	6477
461	5550	6463
462	5561	6450
463	5572	6437
464	5585	6426
465	5600	6417
466	5613	6407
467	5625	6395
468	5638	6383
469	5649	6370
470	5660	6357
471	5671	6344
472	5684	6332
473	5696	6321
474	5710	6311
475	5722	6299
476	5734	6287
477	5747	6276
478	5758	6263
479	5770	6251
480	5783	6240
481	5795	6228
482	5807	6216
483	5818	6203
484	5830	6190
485	5842	6178
486	5852	6165
487	5864	6152
488	5875	6140
489	5888	6128
490	5900	6116
491	5912	6104
492	5923	6091
493	5934	6079
494	5947	6067
495	5960	6056
496	5972	6044
497	5983	6031
498	5995	6019
499	6006	6006
500	6017	5993
501	6028	5980
502	6040	5968
503	6051	5955
504	6063	5943
505	6078	5934
506	6093	5925
507	6107	5915
508	6119	5903
509	6131	5890
510	6142	5878
511	6153	5864
512	6164	5852
513	6175	5839
514	6187	5826
515	6199	5814
516	6214	5805
517	6228	5795
518	6240	5783
519	6252	5771
520	6269	5763
521	6283	5753
522	6296	5742
523	6307	5729
524	6320	5718
525	6332	5706
526	6345	5694
527	6355	5681
528	6366	5668
529	6379	5656
530	6393	5646
531	6404	5634
532	6416	5621
533	6427	5609
534	6439	5597
535	6452	5585
536	6465	5574
537	6477	5562
538	6489	5550
539	6501	5538
540	6513	5526
541	6525	5514
542	6538	5502
543	6550	5491
544	6562	5478
545	6574	5466
546	6585	5453
547	6598	5442
548	6610	5430
549	6623	5419
550	6636	5407
551	6649	5396
552	6661	5384
553	6674	5373
554	6687	5362
555	6700	5350
556	6712	5338
557	6725	5327
558	6737	5315
559	6749	5303
560	6762	5291
561	6775	5280
562	6787	5268
563	6799	5256
564	6810	5243
565	6823	5232
566	6834	5219
567	6847	5207
568	6859	5195
569	6870	5183
570	6884	5172
571	6896	5160
572	6909	5148
573	6920	5136
574	6932	5123
575	6944	5111
576	6954	5098
577	6965	5085
578	6977	5073
579	6988	5060
580	7000	5048
581	7010	5035
582	7021	5022
583	7033	5009
584	7044	4997
585	7055	4984
586	7065	4971
587	7077	4958
588	7088	4946
589	7099	4933
590	7114	4923
591	7127	4912
592	7139	4900
593	7150	4887
594	7161	4874
595	7175	4863
596	7187	4851
597	7197	4838
598	7209	4826
599	7220	4813
600	7231	4801
601	7242	4788
602	7252	4774
603	7264	4762
604	7275	4750
605	7286	4737
606	7298	4725
607	7310	4713
608	7321	4700
609	7332	4688
610	7344	4676
611	7355	4663
612	7368	4651
613	7379	4639
614	7390	4626
615	7403	4614
616	7413	4602
617	7424	4589
618	7436	4576
619	7447	4564
620	7459	4552
621	7470	4540
622	7481	4527
623	7493	4515
624	7504	4502
625	7515	4490
626	7526	4477
627	7537	4465
628	7548	4452
629	7559	4439
630	7571	4427
631	7582	4415
632	7594	4402
633	7604	4390
634	7618	4379
635	7631	4367
636	7643	4355
637	7656	4344
638	7667	4331
639	7680	4320
640	7692	4308
641	7704	4296
642	7716	4284
643	7728	4272
644	7740	4260
645	7752	4248
646	7761	4234
647	7771	4221
648	7781	4208
649	7790	4194
650	7800	4181
651	7809	4168
652	7819	4155
653	7829	4142
654	7838	4128
655	7848	4115
656	7857	4102
657	7867	4089
658	7876	4075
659	7886	4062
660	7895	4049
661	7905	4036
662	7914	4022
663	7923	4009
664	7933	3996
665	7943	3983
666	7953	3970
667	7963	3957
668	7973	3944
669	7982	3931
670	7992	3918
671	8004	3906
672	8013	3893
673	8023	3880
674	8033	3867
675	8042	3854
676	8052	3841
677	8061	3828
678	8071	3815
679	8080	3802
680	8090	3789
681	8100	3776
682	8108	3763
683	8118	3750
684	8127	3737
685	8139	3725
686	8153	3714
687	8166	3703
688	8176	3690
689	8185	3677
690	8196	3665
691	8205	3652
692	8215	3639
693	8224	3626
694	8233	3613
695	8244	3601
696	8255	3588
697	8264	3575
698	8274	3563
699	8284	3550
700	8293	3537
701	8303	3524
702	8312	3511
703	8321	3498
704	8332	3486
705	8341	3473
706	8351	3461
707	8361	3448
708	8370	3435
709	8380	3422
710	8389	3409
711	8400	3397
712	8409	3385
713	8418	3372
714	8428	3359
715	8438	3347
716	8447	3334
717	8457	3321
718	8467	3309
719	8476	3296
720	8487	3284
721	8497	3271
722	8506	3258
723	8516	3246
724	8525	3233
725	8534	3221
726	8544	3208
727	8553	3195
728	8562	3183
729	8572	3170
730	8582	3158
731	8591	3145
732	8602	3133
733	8611	3120
734	8621	3108
735	8630	3095
736	8640	3083
737	8652	3071
738	8662	3059
739	8673	3047
740	8682	3034
741	8692	3022
742	8701	3009
743	8712	2997
744	8721	2985
745	8731	2972
746	8741	2960
747	8750	2947
748	8763	2936
749	8774	2924
750	8785	2913
751	8797	2901
752	8808	2889
753	8817	2876
754	8826	2864
755	8836	2851
756	8845	2839
757	8854	2826
758	8863	2814
759	8872	2801
760	8882	2789
761	8892	2777
762	8901	2764
763	8911	2752
764	8920	2740
765	8931	2728
766	8940	2715
767	8949	2703
768	8959	2691
769	8968	2678
770	8978	2666
771	8989	2654
772	8998	2642
773	9008	2630
774	9018	2618
775	9027	2605
776	9037	2593
777	9048	2581
778	9057	2569
779	9067	2557
780	9076	2545
781	9086	2532
782	9095	2520
783	9104	2508
784	9115	2496
785	9127	2485
786	9137	2473
787	9149	2461
788	9164	2450
789	9178	2439
790	9191	2428
791	9200	2416
792	9209	2404
793	9219	2392
794	9228	2379
795	9238	2367
796	9247	2355
797	9258	2343
798	9268	2331
799	9277	2319
800	9287	2307
801	9296	2295
802	9305	2282
803	9315	2270
804	9325	2258
805	9334	2246
806	9344	2234
807	9353	2222
808	9363	2210
809	9372	2198
810	9382	2186
811	9392	2174
812	9404	2163
813	9414	2151
814	9424	2139
815	9434	2127
816	9443	2115
817	9452	2103
818	9461	2091
819	9471	2079
820	9480	2067
821	9489	2054
822	9499	2042
823	9509	2031
824	9518	2019
825	9527	2007
826	9536	1995
827	9546	1983
828	9556	1971
829	9565	1959
830	9575	1947
831	9586	1935
832	9595	1923
833	9604	1911
834	9614	1899
835	9625	1888
836	9635	1876
837	9644	1864
838	9654	1852
839	9664	1840
840	9674	1829
841	9683	1817
842	9694	1805
843	9707	1794
844	9718	1782
845	9729	1771
846	9741	1759
847	9750	1747
848	9760	1735
849	9769	1724
850	9778	1712
851	9788	1700
852	9797	1688
853	9807	1676
854	9817	1664
855	9826	1653
856	9836	1641
857	9845	1629
858	9854	1617
859	9864	1605
860	9873	1594
861	9883	1582
862	9893	1570
863	9902	1558
864	9913	1547
865	9922	1535
866	9933	1523
867	9943	1512
868	9952	1500
869	9961	1488
870	9971	1476
871	9980	1465
872	9990	1453
873	10000	1441
874	10009	1429
875	10019	1418
876	10028	1406
877	10038	1394
878	10048	1383
879	10057	1371
880	10067	1359
881	10076	1348
882	10086	1336
883	10097	1324
884	10105	1313
885	10117	1301
886	10129	1290
887	10138	1278
888	10148	1267
889	10158	1255
890	10167	1243
891	10177	1232
892	10186	1220
893	10197	1209
894	10209	1197
895	10221	1186
896	10231	1174
897	10241	1163
898	10251	1151
899	10260	1140
900	10269	1128
901	10279	1116
902	10288	1105
903	10298	1093
904	10308	1082
905	10317	1070
906	10326	1058
907	10335	1047
908	10345	1035
909	10355	1024
910	10364	1012
911	10373	1000
912	10383	989
913	10392	977
914	10402	966
915	10412	954
916	10421	943
917	10431	931
918	10440	920
919	10449	908
920	10458	897
921	10467	885
922	10477	874
923	10485	862
924	10495	850
925	10504	839
926	10513	827
927	10523	816
928	10532	804
929	10542	793
930	10552	782
931	10561	770
932	10573	759
933	10582	747
934	10591	736
935	10600	724
936	10612	713
937	10621	702
938	10632	690
939	10641	679
940	10651	667
941	10661	656
942	10671	645
943	10680	633
944	10690	622
945	10699	610
946	10708	599
947	10717	587
948	10727	576
949	10736	565
950	10745	553
951	10755	542
952	10764	530
953	10774	519
954	10784	508
955	10793	496
956	10802	485
957	10811	473
958	10820	462
959	10830	451
960	10839	439
961	10849	428
962	10859	417
963	10869	405
964	10879	394
965	10889	383
966	10899	371
967	10908	360
968	10918	349
969	10928	337
970	10937	326
971	10946	315
972	10955	304
973	10964	292
974	10974	281
975	10984	270
976	10993	258
977	11003	247
978	11012	236
979	11022	224
980	11031	213
981	11040	202
982	11050	191
983	11059	179
984	11069	168
985	11080	157
986	11089	146
987	11101	134
988	11110	123
989	11120	112
990	11129	101
991	11139	89
992	11148	78
993	11157	67
994	11167	56
995	11177	44
996	11186	33
997	11196	22
998	11205	11
999	11217	0
