iter	RMSE
511	14.40879459
512	14.3997185
513	14.38595491
514	14.37398767
515	14.35918671
516	14.34223476
517	14.33320226
518	14.31806103
519	14.30506415
520	14.29283884
521	14.27551243
522	14.26479206
523	14.25728632
524	14.24307729
525	14.23555889
526	14.2276364
527	14.22657836
528	14.21828029
529	14.20901641
530	14.19805675
531	14.18443227
532	14.1755365
533	14.15829969
534	14.14603275
535	14.12605095
536	14.11272809
537	14.09597057
538	14.08708868
539	14.07628159
540	14.0670816
541	14.05727051
542	14.04321351
543	14.03146169
544	14.01802947
545	14.00708638
546	13.99027829
547	13.97551499
548	13.96920596
549	13.95598462
550	13.93673741
551	13.92448945
552	13.91415389
553	13.90207626
554	13.89101616
555	13.87769158
556	13.86883197
557	13.85931626
558	13.84947519
559	13.84138591
560	13.83292807
561	13.82413853
562	13.81152485
563	13.79933824
564	13.79865559
565	13.78984126
566	13.77581681
567	13.76921853
568	13.75693012
569	13.75639033
570	13.74054914
571	13.73387449
572	13.72600451
573	13.72546681
574	13.70938577
575	13.69951562
576	13.69026387
577	13.67580943
578	13.67069705
579	13.66579655
580	13.65166044
581	13.647505
582	13.63699832
583	13.62324026
584	13.61269294
585	13.59959504
586	13.59222444
587	13.58082505
588	13.5695592
589	13.5597538
590	13.54794954
591	13.54695018
592	13.53288432
593	13.51824205
594	13.51079308
595	13.49443171
596	13.48509894
597	13.47869658
598	13.46842444
599	13.45148404
600	13.44467232
601	13.43591448
602	13.4242449
603	13.41544559
604	13.40373308
605	13.38902581
606	13.37918684
607	13.36978273
608	13.35686242
609	13.34369345
610	13.32938869
611	13.32341732
612	13.31210708
613	13.29904571
614	13.28736864
615	13.26990442
616	13.25753079
617	13.25268947
618	13.24068738
619	13.22901632
620	13.22240452
621	13.21357592
622	13.20211842
623	13.19181905
624	13.1851596
625	13.17140733
626	13.1611604
627	13.15279457
628	13.14531383
629	13.14009697
630	13.12849535
631	13.12053869
632	13.11028501
633	13.10884002
634	13.10775621
635	13.09850494
636	13.09024657
637	13.08215698
638	13.06696372
639	13.05185505
640	13.03821556
641	13.02644641
642	13.01463
643	13.00955669
644	12.99863628
645	12.98957109
646	12.97901594
647	12.96480073
648	12.95309642
649	12.93719922
650	12.92395815
651	12.91749488
652	12.9083643
653	12.89752484
654	12.88770991
655	12.87473353
656	12.86571891
657	12.85330613
658	12.84661398
659	12.83715808
660	12.82820258
661	12.82759652
662	12.82017072
663	12.81229923
664	12.80476968
665	12.79770991
666	12.7931962
667	12.78255134
668	12.77414734
669	12.76443982
670	12.75661359
671	12.74938778
672	12.7383112
673	12.73259592
674	12.72063607
675	12.71512601
676	12.70767271
677	12.70288538
678	12.69474764
679	12.68653335
680	12.67690502
681	12.66793313
682	12.66744975
683	12.65532213
684	12.64625243
685	12.64574969
686	12.63953629
687	12.63159019
688	12.62305616
689	12.61601611
690	12.60836043
691	12.59421984
692	12.58635104
693	12.57870956
694	12.57123306
695	12.56032643
696	12.54948695
697	12.53920898
698	12.52625717
699	12.51617224
700	12.5071957
701	12.50000303
702	12.4944505
703	12.48382581
704	12.48046131
705	12.47352526
706	12.46558059
707	12.4563418
708	12.44777334
709	12.44156861
710	12.43432348
711	12.42641825
712	12.41314331
713	12.4032534
714	12.38928604
715	12.38308535
716	12.3697334
717	12.35655743
718	12.35136616
719	12.3454689
720	12.33971573
721	12.32712385
722	12.32667672
723	12.31170343
724	12.30270521
725	12.29776524
726	12.29050781
727	12.28990387
728	12.28349046
729	12.27259002
730	12.2606444
731	12.2497668
732	12.2386213
733	12.23232985
734	12.21907322
735	12.21479482
736	12.20691374
737	12.19895581
738	12.19834362
739	12.18778534
740	12.17821656
741	12.16590541
742	12.15521388
743	12.14960632
744	12.1437349
745	12.13393713
746	12.12362194
747	12.11291598
748	12.10083329
749	12.09046903
750	12.0790644
751	12.06946014
752	12.05474104
753	12.05428625
754	12.04910317
755	12.04059457
756	12.03907565
757	12.03808532
758	12.02963297
759	12.02182465
760	12.01355571
761	12.00634813
762	11.99424059
763	11.98630984
764	11.97806948
765	11.96839497
766	11.9634489
767	11.95442657
768	11.9469062
769	11.9408567
770	11.92729052
771	11.91892497
772	11.90692433
773	11.90088464
774	11.89402677
775	11.88413093
776	11.87176955
777	11.86266665
778	11.85159539
779	11.83973284
780	11.83904756
781	11.82725376
782	11.81811204
783	11.81280364
784	11.80675031
785	11.80044441
786	11.79377868
787	11.78372039
788	11.77524596
789	11.76562947
790	11.75155038
791	11.74460738
792	11.73491992
793	11.73302869
794	11.72113962
795	11.7121837
796	11.70362515
797	11.70037672
798	11.688566
799	11.67993162
800	11.67699354
801	11.66642404
802	11.66262539
803	11.65128614
804	11.64069352
805	11.6376218
806	11.63117066
807	11.62483935
808	11.61988104
809	11.61727401
810	11.61148731
811	11.60505716
812	11.59534325
813	11.59248771
814	11.58022883
815	11.57322113
816	11.56024545
817	11.5566256
818	11.55407734
819	11.54929874
820	11.54046986
821	11.54001619
822	11.53327033
823	11.52214794
824	11.51859285
825	11.51326199
826	11.50649833
827	11.49765588
828	11.488522
829	11.47907273
830	11.4671558
831	11.45990387
832	11.45226254
833	11.43983503
834	11.43611972
835	11.42853549
836	11.41941028
837	11.4189947
838	11.41388964
839	11.40274758
840	11.39337243
841	11.3849694
842	11.38003438
843	11.37173517
844	11.36409468
845	11.35645579
846	11.34755306
847	11.33910481
848	11.3267908
849	11.31250866
850	11.30829515
851	11.30035063
852	11.29404841
853	11.28671651
854	11.28027709
855	11.27489536
856	11.26916804
857	11.26584638
858	11.25907614
859	11.25267991
860	11.24141299
861	11.23846658
862	11.22727249
863	11.2201004
864	11.21458024
865	11.20659443
866	11.19502135
867	11.18831119
868	11.18794274
869	11.18142934
870	11.17836945
871	11.1710345
872	11.16441492
873	11.15368301
874	11.14683024
875	11.14629346
876	11.13915831
877	11.12453626
878	11.1124505
879	11.10550407
880	11.09541637
881	11.08788215
882	11.08168347
883	11.07376943
884	11.06645837
885	11.0596604
886	11.04774915
887	11.03253795
888	11.02570975
889	11.01807597
890	11.00781785
891	10.99827765
892	10.98728919
893	10.97841984
894	10.97425757
895	10.96778551
896	10.96206891
897	10.9589907
898	10.9527213
899	10.94143532
900	10.93385003
901	10.9255577
902	10.9196328
903	10.91290611
904	10.90300707
905	10.89681631
906	10.89017769
907	10.88450795
908	10.87527657
909	10.86242143
910	10.85555737
911	10.85011209
912	10.845034
913	10.83874366
914	10.83224216
915	10.82655983
916	10.82117061
917	10.81014673
918	10.80516788
919	10.804801
920	10.79737644
921	10.78867468
922	10.7878911
923	10.7825694
924	10.7765951
925	10.76792398
926	10.76401018
927	10.75338017
928	10.74751252
929	10.73447168
930	10.72089086
931	10.71742428
932	10.71013102
933	10.70311585
934	10.70281921
935	10.69791444
936	10.69161503
937	10.68208764
938	10.67380167
939	10.66682039
940	10.65915429
941	10.65302572
942	10.64252167
943	10.63762945
944	10.63055994
945	10.62351896
946	10.61977565
947	10.61169234
948	10.60659336
949	10.6008008
950	10.59549732
951	10.5897662
952	10.58430948
953	10.5771489
954	10.57359341
955	10.56611792
956	10.55974159
957	10.55255499
958	10.54519296
959	10.53970854
960	10.53312955
961	10.52454223
962	10.51969784
963	10.51098216
964	10.50375926
965	10.49582072
966	10.49075779
967	10.48154062
968	10.47347816
969	10.46986318
970	10.4639691
971	10.4599454
972	10.45568467
973	10.44698993
974	10.43821501
975	10.43790567
976	10.43321979
977	10.42345563
978	10.41523661
979	10.40606218
980	10.39963363
981	10.39527057
982	10.38842702
983	10.38593166
984	10.37787396
985	10.37445499
986	10.36848272
987	10.36316668
988	10.36284188
989	10.35434659
990	10.34795501
991	10.34370147
992	10.33555232
993	10.33078944
994	10.32213363
995	10.31145752
996	10.30491369
997	10.3044494
998	10.29440962
999	10.28209409
